CustomerLoyaltyID,Gender,Age,AffluenceGrade,LoyaltyCardTenure,OrganicsPurchaseCount,OrganicsPurchaseIndicator,TotalSpend
4529,1,62.0,10.0,3.0,0,0,2038.76
7420,0,60.0,7.0,2.0,0,0,11000.0
10006,0,51.0,9.0,11.0,0,0,300.0
11932,0,70.0,5.0,8.0,0,0,6104.66
19496,0,66.0,9.0,12.0,0,0,500.0
19763,0,74.0,9.0,2.0,0,0,6000.0
20761,1,66.0,7.0,5.0,0,0,1000.0
24880,1,75.0,7.0,7.0,0,0,4000.0
29173,0,62.0,7.0,4.0,0,0,20000.0
29440,1,37.0,8.0,9.0,1,1,1000.0
41092,0,50.0,3.0,3.0,0,0,9800.0
42439,0,35.0,15.0,5.0,1,1,1630.0
45799,0,71.0,10.0,5.0,0,0,1500.0
51950,0,68.0,9.0,5.0,1,1,6053.25
56073,0,70.0,8.0,15.0,0,0,19053.82
57002,0,72.0,7.0,3.0,0,0,20526.96
59862,0,58.0,8.0,7.0,0,0,10053.35
63983,1,71.0,8.0,6.0,0,0,1000.0
71986,0,62.0,8.0,5.0,1,1,1000.0
73148,0,39.0,8.0,4.0,1,1,2241.36
75205,1,76.0,6.0,19.0,0,0,12000.0
75469,0,61.0,7.0,11.0,1,1,6000.0
80608,1,60.0,8.0,11.0,1,1,60.0
84573,0,57.0,10.0,11.0,0,0,50.0
89796,0,75.0,11.0,8.0,1,1,3052.66
95036,0,61.0,12.0,9.0,0,0,1020.0
102385,1,57.0,8.0,9.0,0,0,9000.0
109819,0,50.0,9.0,4.0,0,0,20000.0
118397,0,78.0,7.0,24.0,0,0,2000.0
124710,0,66.0,11.0,5.0,0,0,2000.0
129283,1,48.0,9.0,2.0,0,0,3000.0
148415,1,67.0,10.0,4.0,0,0,6000.0
158216,1,65.0,14.0,6.0,0,0,6053.35
162485,0,34.0,16.0,3.0,2,1,3000.0
165808,0,40.0,6.0,7.0,1,1,1500.0
170127,1,50.0,7.0,10.0,0,0,5000.0
192791,1,60.0,9.0,5.0,0,0,8100.0
197440,0,49.0,8.0,4.0,0,0,7600.0
202878,1,57.0,6.0,8.0,0,0,2000.0
206032,1,75.0,6.0,17.0,0,0,10000.0
215554,0,52.0,8.0,6.0,1,1,2500.0
217158,0,74.0,12.0,5.0,0,0,6000.0
223182,0,79.0,9.0,5.0,0,0,5000.0
243051,0,38.0,3.0,9.0,1,1,50.0
248258,0,58.0,9.0,5.0,0,0,5000.0
249335,1,52.0,4.0,4.0,0,0,1800.0
252646,0,45.0,3.0,9.0,0,0,100.01
253839,0,42.0,9.0,4.0,0,0,2000.0
275700,0,36.0,10.0,9.0,1,1,1000.0
278661,0,72.0,10.0,8.0,0,0,11105.32
285846,0,76.0,9.0,8.0,1,1,2000.0
301981,0,51.0,8.0,8.0,0,0,9000.01
310786,0,50.0,9.0,2.0,0,0,12000.0
312762,0,41.0,8.0,7.0,1,1,1675.0
315559,1,60.0,8.0,8.0,0,0,100.01
315788,0,70.0,10.0,8.0,0,0,2250.0
317950,0,74.0,9.0,5.0,0,0,3000.0
331341,1,53.0,9.0,4.0,0,0,6000.0
342033,0,51.0,7.0,10.0,0,0,3026.67
343102,0,62.0,5.0,7.0,0,0,56053.35
345865,1,39.0,10.0,2.0,1,1,7500.0
346225,1,53.0,6.0,6.0,1,1,3000.0
347086,0,48.0,7.0,4.0,0,0,5000.0
347531,0,62.0,7.0,11.0,0,0,12808.95
351482,0,43.0,6.0,2.0,0,0,6000.0
356425,0,78.0,7.0,5.0,0,0,6000.0
356719,0,67.0,3.0,3.0,0,0,12049.25
359955,0,68.0,13.0,6.0,0,0,7500.0
